timestamp,value
1640430120000,97.0
1640439000000,97.0
1640445420000,98.0
1640466780000,95.0
1640477220000,99.0
1640507940000,98.0
1640518860000,98.0
1640523660000,98.0
1640542500000,97.0
1640549820000,99.0
1640564700000,98.0
1640566140000,95.0
1640626500000,96.0
1640649900000,98.0
1640678400000,96.0
1640692680000,97.0
1640714460000,97.0
1640736660000,96.0
1640742960000,96.0
1640805360000,95.0
1640823720000,96.0
1640844000000,95.0
1640881620000,98.0
1640887080000,99.0
1640895780000,98.0
1640911800000,98.0
1640956740000,97.0
1640979840000,99.0
1640985900000,99.0
1640996040000,96.0
1641040800000,93.0
1641083040000,98.0
1641114480000,96.0
1641142380000,92.0
1641153060000,99.0
1641170160000,100.0
1641175320000,96.0
1641218520000,97.0
1641236040000,99.0
1641243480000,98.0
1641254880000,99.0
1641281700000,96.0
1641312360000,98.0
1641342000000,99.0
1641392100000,99.0
1641428520000,98.0
1641431580000,98.0
1641467040000,97.0
1641478800000,97.0
1641514200000,98.0
1641543840000,99.0
1641552300000,98.0
1641587880000,99.0
1641601380000,98.0
1641638280000,95.0
1641689880000,97.0
1641716220000,99.0
1641719580000,99.0
1641738960000,100.0
1641754800000,97.0
1641773400000,98.0
1641811500000,98.0
1641832200000,99.0
1641859560000,98.0
1641889320000,96.0
1641912120000,95.0
1641917640000,99.0
1641921900000,96.0
1641933960000,96.0
1641947100000,99.0
1641994500000,98.0
1642009620000,99.0
1642033200000,78.0
1642089780000,94.0
1642095180000,98.0
1642119960000,96.0
1642142220000,96.0
1642183620000,98.0
1642206360000,100.0
1642257000000,98.0
1642266240000,96.0
1642275960000,95.0
1642291620000,97.0
1642311480000,96.0
1642330440000,98.0
1642336560000,99.0
1642341360000,97.0
1642348560000,98.0
1642354680000,97.0
1642377660000,97.0
1642403340000,99.0
1642438560000,96.0
1642442940000,98.0
1642453740000,99.0
1642465860000,96.0
1642494120000,98.0
1642532880000,98.0
1642551000000,100.0
1642606920000,99.0
1642638240000,96.0
1642667700000,96.0
1642671360000,97.0
1642676340000,95.0
1642696020000,98.0
1642723380000,99.0
1642794420000,96.0
1642812120000,100.0
1642829520000,83.0
1642896720000,96.0
1642911360000,98.0
1642947360000,99.0
1642952220000,97.0
1642960680000,97.0
1642982700000,97.0
1643016540000,99.0
1643045760000,100.0
1643071260000,97.0
1643100960000,99.0
1643126760000,98.0
1643135820000,79.0
1643156520000,100.0
1643190180000,98.0
1643232060000,91.0
1643246580000,99.0
1643268900000,99.0
1643298240000,97.0
1643313000000,96.0
1643328960000,98.0
1643356320000,99.0
1643387940000,97.0
1643390340000,99.0
